,val_loss,val_acc,loss,acc,experiment,epoch
0,0.4044740360975265,0.9214393997192383,0.4464206441938877,0.902735969543457,0.0,0.0
1,0.3645165321230888,0.9253877639770508,0.44065168872475624,0.9039251632690429,1.0,0.0
2,0.3692927424609661,0.9315641021728516,0.45019717401266096,0.9022959747314453,2.0,0.0
3,0.37123738616704943,0.9267932891845703,0.5140252946913242,0.8972126388549805,3.0,0.0
4,0.35808377236127853,0.9252328109741211,0.4652138052284718,0.8992339706420899,4.0,0.0
5,0.3657678411900997,0.9273937225341797,0.42719284281134606,0.9063537216186524,5.0,0.0
6,0.34778575479984286,0.9305562973022461,0.4355920737087727,0.9054712448120117,6.0,0.0
7,0.37946461617946625,0.9242391586303711,0.4381858361661434,0.9039628143310547,7.0,0.0
8,0.36329901203513143,0.9291561126708985,0.48615897381305695,0.8996203689575195,8.0,0.0
9,0.3458953909575939,0.9308063888549805,0.42724907100200654,0.9067062072753906,9.0,0.0
