,val_loss,val_acc,loss,acc,experiment,epoch
0,0.4217174869775772,0.9204141235351563,0.46177705261111257,0.9008816452026367,0.0,0.0
1,0.3460082457959652,0.933299446105957,0.4363946273624897,0.904607421875,1.0,0.0
2,0.376824449300766,0.9223662185668945,0.4517977565526962,0.9025951004028321,2.0,0.0
3,0.34795975059270856,0.9298081970214844,0.45031444442272184,0.9031514282226563,3.0,0.0
4,0.3396829940378666,0.9353935241699218,0.45040229421854017,0.9022424545288086,4.0,0.0
5,0.3852033062279224,0.9261859893798828,0.43635422784090044,0.9055305099487305,5.0,0.0
6,0.33976217955350874,0.9348419952392578,0.4354592470228672,0.9052184982299805,6.0,0.0
7,0.34616436809301376,0.9313377380371094,0.43942124050855635,0.9050557479858399,7.0,0.0
8,0.33640745267271993,0.9311283493041992,0.4341444941461086,0.9056308212280273,8.0,0.0
9,0.34941659644246104,0.9268406677246094,0.4406764746010304,0.9050382308959961,9.0,0.0
