,val_loss,val_acc,loss,acc,experiment,epoch
0,0.5599584010243416,0.8736161041259766,0.8256494866013527,0.8032760238647461,0.0,0.0
1,0.4619406740367413,0.8966837692260742,0.5653246007561684,0.8760857162475586,0.0,1.0
2,0.4116532115638256,0.9119848251342774,0.5031316160559655,0.8910317611694336,0.0,2.0
3,0.40325912073254583,0.9139022445678711,0.47620357289910314,0.8970109634399414,0.0,3.0
4,0.39329952210187913,0.9176535415649414,0.45812823221087456,0.9001543960571289,0.0,4.0
5,25.68279194831848,0.20329376220703124,24.83236551094055,0.22967476654052735,1.0,0.0
6,25.68532653808594,0.2032151412963867,24.81976776790619,0.23006555938720702,1.0,1.0
7,25.690430994033814,0.20305679321289063,24.796712003707885,0.23078077697753907,1.0,2.0
8,25.683587579727174,0.20326908111572264,24.831767477035523,0.22969332122802735,1.0,3.0
9,25.67833543777466,0.2034320068359375,24.80197061920166,0.23061764526367187,1.0,4.0
10,0.7876642018556594,0.8230927658081054,1.4304886337518692,0.7474632873535156,2.0,0.0
11,0.6539196616411209,0.8623751068115234,0.7337525051832199,0.830509765625,2.0,1.0
12,0.5755911725759506,0.8754322052001953,0.6416043857932091,0.8556712265014649,2.0,2.0
13,0.5166730974614621,0.8869775009155273,0.5996990498900413,0.8666815872192383,2.0,3.0
14,0.4825939467549324,0.8906594467163086,0.5602115464806556,0.8771498870849609,2.0,4.0
15,0.4783362521231174,0.8925971603393554,0.6644960053265094,0.8511659927368164,3.0,0.0
16,0.4412835267186165,0.9041689300537109,0.5093606747984886,0.889189811706543,3.0,1.0
17,0.5031231202185154,0.8911802673339844,0.463065056592226,0.8989345932006836,3.0,2.0
18,0.47629052966833113,0.8985400009155273,0.45051018142700194,0.9015774993896485,3.0,3.0
19,0.3908640559017658,0.9173124313354493,0.4383198751807213,0.9039013748168945,3.0,4.0
20,0.5994115146994591,0.8691138458251954,0.8705958003401756,0.8142495651245117,4.0,0.0
21,0.4857633998990059,0.8928195571899414,0.5888184062838554,0.8696109619140625,4.0,1.0
22,0.5399401250481606,0.8835277557373047,0.5220958448648453,0.8865044403076172,4.0,2.0
23,0.46843181759119035,0.8979985427856445,0.48439734464883805,0.8948327102661133,4.0,3.0
24,0.3974027232825756,0.9165285491943359,0.4678311973810196,0.8981142349243164,4.0,4.0
