,val_loss,val_acc,loss,acc,lr,experiment,epoch
0,0.3476493075489998,0.926646728515625,0.385686435341835,0.9167231140136719,9.999999747378752e-05,0.0,0.0
1,0.3478119468688965,0.9284843444824219,0.289451978802681,0.9367328491210938,9.999999747378752e-05,0.0,1.0
2,0.3506569215655327,0.9286638641357422,0.25458290404081346,0.9443638610839844,9.999999747378752e-05,0.0,2.0
3,0.3494298055768013,0.9301143646240234,0.23071849805116654,0.9497301940917968,9.999999747378752e-05,0.0,3.0
4,0.3582808011770248,0.930474853515625,0.21311393928527833,0.9535893249511719,9.999999747378752e-05,0.0,4.0
5,0.36867074787616727,0.9284214019775391,0.19838630920648576,0.9568189697265626,9.999999747378752e-05,0.0,5.0
6,0.37554059594869615,0.9292974853515625,0.17941232705116272,0.96100830078125,9.999999747378752e-06,0.0,6.0
7,0.3258010917901993,0.9327143096923828,0.4012999609708786,0.90968359375,9.999999747378752e-05,1.0,0.0
8,0.33585231989622116,0.9314575958251953,0.29068405550718307,0.9362994995117188,9.999999747378752e-05,1.0,1.0
9,0.3440073835849762,0.930677261352539,0.25448122853040694,0.9442637023925782,9.999999747378752e-06,1.0,2.0
10,0.34087159276008605,0.9284300231933593,0.3802617636919022,0.9183230590820313,9.999999747378752e-05,2.0,0.0
11,0.34085356175899506,0.9290565490722656,0.287699802339077,0.9372759399414062,9.999999747378752e-05,2.0,1.0
12,0.3385837063193321,0.9310537719726563,0.25195829606056214,0.9449997253417969,9.999999747378752e-05,2.0,2.0
13,0.3656275203824043,0.9279151916503906,0.22677393126487733,0.9505651245117187,9.999999747378752e-05,2.0,3.0
14,0.3633666950464249,0.9294844055175782,0.2033401732444763,0.9558282165527344,9.999999747378752e-06,2.0,4.0
15,0.31181609123945236,0.9350441741943359,0.3786446501016617,0.9176589660644531,9.999999747378752e-05,3.0,0.0
16,0.33308942258358004,0.932248764038086,0.28941547363996506,0.9366412658691406,9.999999747378752e-05,3.0,1.0
17,0.3350097218155861,0.931871337890625,0.2511819466352463,0.9451613159179687,9.999999747378752e-06,3.0,2.0
18,0.3321689280867577,0.9295223999023438,0.3793638753890991,0.9175543212890624,9.999999747378752e-05,4.0,0.0
19,0.3458275094628334,0.9271839141845704,0.2899306335449219,0.9366674499511719,9.999999747378752e-05,4.0,1.0
20,0.3368492636084557,0.9303827667236328,0.2528319407105446,0.9448555603027343,9.999999747378752e-06,4.0,2.0
21,0.3439251482486725,0.929371337890625,0.24119434094429015,0.9473854675292969,9.999999747378752e-06,4.0,3.0
22,0.3437206596136093,0.9303630065917968,0.23600476729869843,0.9485150756835937,9.999999974752427e-07,4.0,4.0
