,val_loss,val_acc,loss,acc,experiment,epoch
0,0.4788524140417576,0.9197234344482422,0.6405606347322464,0.8734141159057617,0.0,0.0
1,0.4626059255003929,0.9298640060424804,0.551630628913641,0.8996844863891602,0.0,1.0
2,0.4526416738331318,0.9345073699951172,0.5256904608011246,0.9051795654296875,0.0,2.0
3,0.4395100998878479,0.9337231826782226,0.5081144095361233,0.9077523345947266,0.0,3.0
4,0.4747570057213306,0.9258885192871094,0.5028150697052479,0.9084696273803711,0.0,4.0
5,0.3835104601085186,0.9205086135864258,0.6775326114296913,0.8387944183349609,1.0,0.0
6,0.35620993092656134,0.927255973815918,0.453331557482481,0.903833869934082,1.0,1.0
7,0.34294117778539657,0.9337974548339844,0.42773243740200995,0.9077720642089844,1.0,2.0
8,0.3498056334257126,0.9334523391723633,0.41094096037745476,0.9107852249145508,1.0,3.0
9,0.340292716473341,0.933943977355957,0.4070560651421547,0.9119720764160156,1.0,4.0
10,0.48169043809175494,0.9189915466308594,0.6390167836248875,0.869295883178711,2.0,0.0
11,0.4786298421025276,0.9222771072387695,0.5553959122300148,0.8986366577148438,2.0,1.0
12,0.4566910938918591,0.9275197219848633,0.5130803696215153,0.9065927658081054,2.0,2.0
13,0.43938882276415825,0.9318727493286133,0.5139712539613247,0.9062501678466797,2.0,3.0
14,0.4482090649008751,0.9297211837768554,0.49621515679359435,0.9088242111206055,2.0,4.0
15,0.3476401826739311,0.9305424499511719,0.5576405025422573,0.8802020645141602,3.0,0.0
16,0.3570309755206108,0.9279727554321289,0.45060538601875305,0.9039827346801758,3.0,1.0
17,0.351934335231781,0.9309070205688477,0.4163451078236103,0.9090167541503906,3.0,2.0
18,0.35373143032193183,0.9324140930175782,0.40648500722646713,0.9115573806762696,3.0,3.0
19,0.3313083955645561,0.9363243103027343,0.4185763782262802,0.910535400390625,3.0,4.0
20,0.3848602396249771,0.9272334671020508,0.5663177471756935,0.877450927734375,4.0,0.0
21,0.386365337818861,0.9253285598754882,0.4614747008085251,0.9023536529541015,4.0,1.0
22,0.3939474730193615,0.9234914779663086,0.4396227542757988,0.9064157791137696,4.0,2.0
23,0.3498643150925636,0.9325905990600586,0.4099754193723202,0.9108721923828125,4.0,3.0
24,0.35182199388742447,0.9320580291748047,0.4159287009835243,0.9106773834228515,4.0,4.0
