,val_loss,val_acc,loss,acc,lr,experiment,epoch
0,0.324719677567482,0.9315750122070312,0.4731510043144226,0.8991442260742187,9.999999747378752e-05,0.0,0.0
1,0.3264334198832512,0.934552993774414,0.35090856039524077,0.9232552490234375,9.999999747378752e-05,0.0,1.0
2,0.34792192339897154,0.9345367431640625,0.3137057694196701,0.93106103515625,9.999999747378752e-05,0.0,2.0
3,0.35608966439962386,0.9344257354736328,0.284803953230381,0.9374395141601563,9.999999747378752e-06,0.0,3.0
4,0.3337664458155632,0.9311651611328124,0.5370766816139221,0.8864939270019532,9.999999747378752e-05,1.0,0.0
5,0.314192910194397,0.9349701690673828,0.37354044497013095,0.9179913635253907,9.999999747378752e-05,1.0,1.0
6,0.33729719936847685,0.9308372497558594,0.3309335952997208,0.9272803344726562,9.999999747378752e-05,1.0,2.0
7,0.34193489164114,0.932364501953125,0.2998348955512047,0.9340206298828125,9.999999747378752e-06,1.0,3.0
8,0.3518856918811798,0.9281904602050781,0.5710640468597412,0.8836903381347656,9.999999747378752e-05,2.0,0.0
9,0.3211330285668373,0.9352692413330078,0.3802818078994751,0.9172119445800782,9.999999747378752e-05,2.0,1.0
10,0.409868366420269,0.9314656066894531,0.3374686449766159,0.9262179260253907,9.999999747378752e-05,2.0,2.0
11,0.3570349770784378,0.934864501953125,0.3086767041683197,0.932119873046875,9.999999747378752e-06,2.0,3.0
12,0.349492247402668,0.9274384307861329,0.5839407957792282,0.8854619445800781,9.999999747378752e-05,3.0,0.0
13,0.3386948123574257,0.930758285522461,0.3842112512588501,0.9169748229980469,9.999999747378752e-05,3.0,1.0
14,0.35603939950466157,0.9327707672119141,0.34062313520908355,0.9257453918457031,9.999999747378752e-05,3.0,2.0
15,0.3601090228557587,0.929576416015625,0.3160129526853561,0.9307861328125,9.999999747378752e-05,3.0,3.0
16,0.37066528022289275,0.9295683288574219,0.29075946122407914,0.93624755859375,9.999999747378752e-06,3.0,4.0
17,0.354963912665844,0.9261604309082031,0.47053639912605283,0.8978656311035156,9.999999747378752e-05,4.0,0.0
18,0.3186329117417335,0.9339291381835938,0.3546609925031662,0.9224212036132813,9.999999747378752e-05,4.0,1.0
19,0.3428038415312767,0.9333290100097656,0.3179473935365677,0.9302286071777344,9.999999747378752e-05,4.0,2.0
20,0.3537311118841171,0.9347141265869141,0.28568581479787825,0.9371601257324219,9.999999747378752e-06,4.0,3.0
21,0.36426107794046403,0.9338195037841797,0.27875256556272504,0.9387164611816406,9.999999747378752e-06,4.0,4.0
22,0.3653335282206535,0.9339289855957031,0.27470488446950914,0.9396023559570312,9.999999974752427e-07,4.0,5.0
