,loss,acc,val_loss,val_acc,lr,experiment,epoch
0,4.130469958305359,0.2605147063732147,2.6649180674552917,0.3604990243911743,9.999999747378752e-05,0.0,0.0
1,1.3803415026664734,0.6194277405738831,1.1007213830947875,0.770622968673706,9.999999747378752e-05,0.0,1.0
2,0.9905763413906098,0.7966878414154053,0.896065519452095,0.8289065361022949,9.999999747378752e-05,0.0,2.0
3,0.839866589307785,0.8232632875442505,0.7728439593315124,0.8507171869277954,9.999999747378752e-05,0.0,3.0
4,0.752075945854187,0.836900532245636,0.7034033411741256,0.8606403470039368,9.999999747378752e-05,0.0,4.0
5,0.6990083920955658,0.8458569049835205,0.6636734533309937,0.8683946132659912,9.999999747378752e-05,0.0,5.0
6,0.6651281702518463,0.8528881669044495,0.6354497015476227,0.8728793859481812,9.999999747378752e-05,0.0,6.0
7,0.6405556309223175,0.8588226437568665,0.5967950665950775,0.8796501159667969,9.999999747378752e-05,0.0,7.0
8,0.6205867927074432,0.8639732003211975,0.6180349868535996,0.8783262372016907,9.999999747378752e-05,0.0,8.0
9,0.6125617151260376,0.8662761449813843,0.5890727412700653,0.8826960921287537,9.999999747378752e-06,0.0,9.0
10,0.6108877685070038,0.8667266964912415,0.5931389188766479,0.8816156983375549,9.999999747378752e-06,0.0,10.0
11,0.6089876518249512,0.8672781586647034,0.5928167432546616,0.8825283050537109,9.999999974752427e-07,0.0,11.0
12,2.5570810995101927,0.29375365376472473,1.475399774312973,0.4623072147369385,9.999999747378752e-05,1.0,0.0
13,1.2514746556282044,0.6421111822128296,1.084840902686119,0.7643401622772217,9.999999747378752e-05,1.0,1.0
14,0.9695459589958191,0.7952163219451904,0.8867765873670578,0.8291557431221008,9.999999747378752e-05,1.0,2.0
15,0.8256087617874146,0.8231348991394043,0.7762689590454102,0.8531654477119446,9.999999747378752e-05,1.0,3.0
16,0.7410400402545929,0.8380677103996277,0.6865346729755402,0.8634743690490723,9.999999747378752e-05,1.0,4.0
17,0.6884892921447754,0.8483852744102478,0.6613347488641739,0.8729294538497925,9.999999747378752e-05,1.0,5.0
18,0.6542652950286866,0.8559819459915161,0.6542475241422653,0.871428370475769,9.999999747378752e-05,1.0,6.0
19,0.6385282518863677,0.8600906729698181,0.6150352710485458,0.8792350888252258,9.999999747378752e-06,1.0,7.0
20,0.6354448878765107,0.8604328632354736,0.6166321086883545,0.879380464553833,9.999999747378752e-06,1.0,8.0
21,0.6330701403617859,0.8614009618759155,0.6076421922445298,0.878994882106781,9.999999747378752e-06,1.0,9.0
22,0.6297697517871856,0.8623203039169312,0.6138837897777557,0.8782548308372498,9.999999974752427e-07,1.0,10.0
23,2.9193856058120726,0.2671913504600525,1.544292459487915,0.3941513001918793,9.999999747378752e-05,2.0,0.0
24,1.3096409287452697,0.6063602566719055,1.1422067606449127,0.7511489987373352,9.999999747378752e-05,2.0,1.0
25,1.0264100620746612,0.7836126685142517,0.9277124851942062,0.813368022441864,9.999999747378752e-05,2.0,2.0
26,0.8820264165401459,0.8060057163238525,0.802576761841774,0.8292074799537659,9.999999747378752e-05,2.0,3.0
27,0.7955071249008179,0.819805920124054,0.7345366871356964,0.8437459468841553,9.999999747378752e-05,2.0,4.0
28,0.7382241883277894,0.8310949802398682,0.6996501445770263,0.8570768237113953,9.999999747378752e-05,2.0,5.0
29,0.6989883096218109,0.8403117656707764,0.6605728393793107,0.8650115132331848,9.999999747378752e-05,2.0,6.0
30,0.6680201046466827,0.8491110801696777,0.6584966003894805,0.8715013265609741,9.999999747378752e-05,2.0,7.0
31,0.6464520435333252,0.8557077646255493,0.6217689925432205,0.8758124709129333,9.999999747378752e-05,2.0,8.0
32,0.6278396742343902,0.8611893057823181,0.6285046422481537,0.8750182390213013,9.999999747378752e-05,2.0,9.0
33,0.6149516406059266,0.8651264905929565,0.6074991846084594,0.880211353302002,9.999999747378752e-06,2.0,10.0
34,0.6135718026161194,0.8655585050582886,0.6071127170324325,0.8817340731620789,9.999999747378752e-06,2.0,11.0
35,0.6124510939121246,0.8658532500267029,0.593799859881401,0.8815526366233826,9.999999747378752e-06,2.0,12.0
36,0.6154859457015991,0.8648720979690552,0.6044669210910797,0.8810449838638306,9.999999974752427e-07,2.0,13.0
37,2.6100506229400633,0.28642258048057556,1.5264389252662658,0.4263323247432709,9.999999747378752e-05,3.0,0.0
38,1.303107865333557,0.6027129888534546,1.154594314098358,0.7259791493415833,9.999999747378752e-05,3.0,1.0
39,1.0292181010246277,0.7764844298362732,0.9398738551139831,0.8139782547950745,9.999999747378752e-05,3.0,2.0
40,0.8848893427848816,0.8084744811058044,0.8089000713825226,0.8336508870124817,9.999999747378752e-05,3.0,3.0
41,0.795589320898056,0.823667049407959,0.7490363031625747,0.8526838421821594,9.999999747378752e-05,3.0,4.0
42,0.7364645237922669,0.8353647589683533,0.7087028908729553,0.8630828261375427,9.999999747378752e-05,3.0,5.0
43,0.6951213314533233,0.8447104096412659,0.686678609251976,0.8644189238548279,9.999999747378752e-05,3.0,6.0
44,0.6618997468948364,0.8533108234405518,0.6187814378738403,0.8757060170173645,9.999999747378752e-05,3.0,7.0
45,0.6395047571659088,0.8593054413795471,0.68226078748703,0.8662431836128235,9.999999747378752e-05,3.0,8.0
46,0.626276799440384,0.8628898859024048,0.6004697394371032,0.8790654540061951,9.999999747378752e-06,3.0,9.0
47,0.6232197301387787,0.8637348413467407,0.585552619099617,0.8828475475311279,9.999999747378752e-06,3.0,10.0
48,0.6210466706752777,0.8643028736114502,0.5885877394676209,0.8826729655265808,9.999999747378752e-06,3.0,11.0
